,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10
FAM41C,1.57923446253793,1.58313032060887,1.44621076959158,1.02897533673708,1.89662430399381,1.20805213241055,1.21287875926789,1.03725042304593,1.67482739221268,2.05332217665472
SAMD11,1.39266514918776,1.62274024125129,1.71833254637453,1.76819389160996,1.87388089740268,1.98344761901874,3.64608938264643,2.90410676184347,3.00977796867383,2.21364345393431
NOC2L,5.02129653415614,4.66478120388245,5.04994230220303,4.67640049334253,4.98456796521444,5.00188570140297,5.24444213808619,5.2341542143841,4.84926638722171,4.81511165216526
KLHL17,2.18400479515088,2.17915483107946,1.7898849430341,1.64428029314214,2.30585992856048,1.74259205892983,1.84487816595031,2.11286347971403,2.03045984400775,1.27483877973166
PLEKHN1,1.69032936764241,1.77668222971609,2.17461225882531,1.91986807471129,2.1153982370113,1.53846817946406,2.12028486513827,2.26223213940331,1.65396387965144,1.99965950725482
HES4,0.489975457855438,0.239365243800527,0,0.366988606324798,0.425404685033818,0,1.37285401087176,0.507551321177333,0,1.15983345825062
ISG15,8.73420390050808,8.93716567449269,9.80191682574565,9.96186878648759,9.76044890180459,9.36654060882882,9.46254189055298,9.27954277947649,9.31126528676323,9.29304992041148
AGRN,3.61099321496007,3.51885143717665,3.38459914858438,3.17392246966392,3.84769383354433,2.81625941474603,4.10803068931627,4.04271184498825,3.76187523753159,3.45976457580388
RNF223,1.3709819346385,1.21873629524214,2.3805745839233,2.21290316355063,2.38895231482845,0.518513187526441,1.03099037880646,1.39914573236384,1.66285802400255,1.29430927595901
C1orf159,2.46092402072598,2.39525545824286,2.52060401702999,2.54402152705709,2.28731775171658,2.28159306137255,2.69412009633494,2.60176626892739,2.48290439281353,2.33290225085951
TTLL10,0.33786157697143,0.265280773379359,0.776085214408551,0.518031112641908,0.132119108532202,0.121790265529687,0.329396146583721,0.277664392820949,0.693981493842409,0.601930368159433
TNFRSF18,6.26028085752434,6.39275227303108,6.09699998027392,6.82911357088129,5.75737454863205,5.56289347974042,6.78801970091237,7.37088142976032,7.37367547346152,6.49233460108456
TNFRSF4,7.08821015160248,7.15423707245181,6.51482245720994,7.15154274506474,6.17099677418264,5.77583978715546,7.17294244012734,7.66918109065284,7.72522716561079,6.99793702424747
